"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","17","","InfoCardSuite","","","","[ValidateInfoCard] Incorrect info card ID",""
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","6","","InfoCardStorageSuite","","","","[GetByID] Get info card by ID test",""
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","9","","CheckpointStorageSuite","","","","[ListPassages] List passages test",""
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","1","","CheckpointSuite","","","","[ListPassages] Success",""
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","5","","FieldSuite","","","","[GetDocumentField] Success",""
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","7","","EmployeeSuite","","","","[DeleteEmployee] Incorrect info card ID",""
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","1","","EmployeeStorageSuite","","","","[Delete] Delete employee test",""
"failed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","13","","AuthSuite","","","","[LoginEmployee] Incorrect phone number",""
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","7","","DocumentStorageSuite","","","","[GetByID] Get document by ID test",""
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","18","","DocumentSuite","","","","[DeleteDocument] Success",""
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","4","","FieldSuite","","","","[ListDocumentFields] Incorrect document ID",""
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","15","","EmployeeStorageSuite","","","","[GetByInfoCardID] Get employee by info card ID test",""
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","13","","InfoCardSuite","","","","[ValidateInfoCard] Success",""
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","12","","InfoCardStorageSuite","","","","[Create] Create info card test",""
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","6","","InfoCardSuite","","","","[DeleteInfoCard] Incorrect info card ID",""
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","6","","InfoCardStorageSuite","","","","[GetByEmployeeID] Get info card by employee ID test",""
"passed","Sun Oct 06 08:31:44 GMT 2024","Sun Oct 06 08:31:44 GMT 2024","1","","FieldSuite","","","","[DeleteDocumentField] Incorrect field ID",""
